ID_merimeeLabel,item,itemLabel,itemDescription,proprietaireLabel,occupantLabel,naissance_dedansLabel,img,coordonnées,paysLabel,type_maison,type_maisonLabel
PA00087622,http://www.wikidata.org/entity/Q19387976,maison Claude Debussy,maison à Saint-Germain-en-Laye (Yvelines),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Saint-Germain-en-Laye%20Maison%20Claude%20Debussy%202011%2001.jpg,,France,http://www.wikidata.org/entity/Q33506,musée
MI182,http://www.wikidata.org/entity/Q19387976,maison Claude Debussy,maison à Saint-Germain-en-Laye (Yvelines),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Saint-Germain-en-Laye%20Maison%20Claude%20Debussy%202011%2001.jpg,,France,http://www.wikidata.org/entity/Q3947,maison
PA00087622,http://www.wikidata.org/entity/Q19387976,maison Claude Debussy,maison à Saint-Germain-en-Laye (Yvelines),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Saint-Germain-en-Laye%20Maison%20Claude%20Debussy%202011%2001.jpg,,France,http://www.wikidata.org/entity/Q3947,maison
MI213,http://www.wikidata.org/entity/Q19387992,Le Prieuré,"ancienne propriété de Maurice Denis, à Saint-Germain-en-Laye",Maurice Denis,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ancien%20h%C3%B4pital%20Maintenon%2005961.jpg,,France,http://www.wikidata.org/entity/Q3947,maison
PA00087629,http://www.wikidata.org/entity/Q19387992,Le Prieuré,"ancienne propriété de Maurice Denis, à Saint-Germain-en-Laye",Maurice Denis,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ancien%20h%C3%B4pital%20Maintenon%2005961.jpg,,France,http://www.wikidata.org/entity/Q3947,maison
MI003,http://www.wikidata.org/entity/Q19935392,maison natale d'Auguste Bartholdi,maison du sculpteur,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Colmar%20Bartholdi%20a.JPG,,France,http://www.wikidata.org/entity/Q19979289,maison natale
PA00085403,http://www.wikidata.org/entity/Q19935392,maison natale d'Auguste Bartholdi,maison du sculpteur,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Colmar%20Bartholdi%20a.JPG,,France,http://www.wikidata.org/entity/Q19979289,maison natale
MI189,http://www.wikidata.org/entity/Q20103936,monastère de Sorèze,"monastère situé dans le Tarn, en France",,,,http://commons.wikimedia.org/wiki/Special:FilePath/Abbaye-ecole%20de%20Soreze%2047-48mod.jpg,,France,http://www.wikidata.org/entity/Q2385804,institution de formation
PA00095646,http://www.wikidata.org/entity/Q20103936,monastère de Sorèze,"monastère situé dans le Tarn, en France",,,,http://commons.wikimedia.org/wiki/Special:FilePath/Abbaye-ecole%20de%20Soreze%2047-48mod.jpg,,France,http://www.wikidata.org/entity/Q2385804,institution de formation
MI189,http://www.wikidata.org/entity/Q20103936,monastère de Sorèze,"monastère situé dans le Tarn, en France",,,,http://commons.wikimedia.org/wiki/Special:FilePath/Abbaye-ecole%20de%20Soreze%2047-48mod.jpg,,France,http://www.wikidata.org/entity/Q160742,abbaye
PA00095646,http://www.wikidata.org/entity/Q20103936,monastère de Sorèze,"monastère situé dans le Tarn, en France",,,,http://commons.wikimedia.org/wiki/Special:FilePath/Abbaye-ecole%20de%20Soreze%2047-48mod.jpg,,France,http://www.wikidata.org/entity/Q160742,abbaye
MI036,http://www.wikidata.org/entity/Q20669768,fort Sarah Bernhardt,fortin militaire à Sauzon (Morbihan),Sarah Bernhardt,,,http://commons.wikimedia.org/wiki/Special:FilePath/Belle-Ile%20fort%20de%20Sarah%20Bernard%20juillet.jpg,,France,http://www.wikidata.org/entity/Q82101,fortin militaire
PA56000046,http://www.wikidata.org/entity/Q20669768,fort Sarah Bernhardt,fortin militaire à Sauzon (Morbihan),Sarah Bernhardt,,,http://commons.wikimedia.org/wiki/Special:FilePath/Belle-Ile%20fort%20de%20Sarah%20Bernard%20juillet.jpg,,France,http://www.wikidata.org/entity/Q82101,fortin militaire
MI037,http://www.wikidata.org/entity/Q20971734,maison-école du Grand Meaulnes,musée en France,,,,http://commons.wikimedia.org/wiki/Special:FilePath/MaisonEcoleGrandMeaulnes.jpg,,France,http://www.wikidata.org/entity/Q33506,musée
MI099,http://www.wikidata.org/entity/Q21582221,musée du Maréchal Joffre,musée français,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Fa%C3%A7ade%20mus%C3%A9e%20-%20Maison%20natale%20marechal%20Joffre.jpg,,France,http://www.wikidata.org/entity/Q19979289,maison natale
PA00104108,http://www.wikidata.org/entity/Q21582221,musée du Maréchal Joffre,musée français,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Fa%C3%A7ade%20mus%C3%A9e%20-%20Maison%20natale%20marechal%20Joffre.jpg,,France,http://www.wikidata.org/entity/Q19979289,maison natale
MI099,http://www.wikidata.org/entity/Q21582221,musée du Maréchal Joffre,musée français,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Fa%C3%A7ade%20mus%C3%A9e%20-%20Maison%20natale%20marechal%20Joffre.jpg,,France,http://www.wikidata.org/entity/Q33506,musée
PA00104108,http://www.wikidata.org/entity/Q21582221,musée du Maréchal Joffre,musée français,,,,http://commons.wikimedia.org/wiki/Special:FilePath/Fa%C3%A7ade%20mus%C3%A9e%20-%20Maison%20natale%20marechal%20Joffre.jpg,,France,http://www.wikidata.org/entity/Q33506,musée
MI081,http://www.wikidata.org/entity/Q22922427,maison natale de Louis Braille,maison natale de Louis Braille à Coupvray (Seine-et-Marne),,,,http://commons.wikimedia.org/wiki/Special:FilePath/Braille%20house.JPG,,France,http://www.wikidata.org/entity/Q19979289,maison natale
